OR4F5	NM_001005484
AL354808.2	ENST00000601204
PSPC1	NM_001042414
ZMYM5	NM_001142684
ZMYM2	NM_003453
GJA3	NM_021954
GJB2	NM_004004
GJB6	NM_001110220
CRYL1	NM_015974
IFT88	NM_175605
IL17D	NM_138284
N6AMT2	NM_174928
XPO4	NM_022459
LATS2	NM_014572
SAP18	NM_005870
SKA3	NM_145061
MRPL57	NM_024026
MRP63	ENST00000309594
ZDHHC20	NM_153251
MICU2	NM_152726
FGF9	NM_002010
SGCG	NM_000231
SACS	NM_014363
TNFRSF19	NM_001204458
MIPEP	NM_005932
AL139080.1	ENST00000601943
C1QTNF9B	NM_001007537
C1QTNF9B-AS1	NM_001135816
SPATA13	NM_001286792
RP11-307N16.6	ENST00000382141
C1QTNF9	NM_178540
AL359736.1	ENST00000422229
PARP4	NM_006437
ATP12A	NM_001185085
RNF17	NM_031277
CENPJ	NM_018451
PABPC3	NM_030979
AMER2	NM_152704
MTMR6	NM_004685
NUPL1	NM_014089
ATP8A2	NM_016529
AL138815.1	ENST00000400553
AL138815.2	ENST00000596729
SHISA2	NM_001007538
RNF6	NM_005977
CDK8	NM_001260
WASF3	NM_006646
GPR12	NM_005288
USP12	NM_182488
RPL21	NM_000982
RASL11A	NM_206827
GTF3A	NM_002097
MTIF3	NM_152912
LNX2	NM_153371
POLR1D	NM_015972
GSX1	NM_145657
PDX1	NM_000209
ATP5EP2	ENST00000381026
CDX2	NM_001265
URAD	NM_001105577
FLT3	NM_004119
PAN3	NM_175854
FLT1	NM_002019
POMP	NM_015932
SLC46A3	NM_001135919
MTUS2	NM_001033602
SLC7A1	NM_003045
UBL3	NM_007106
KATNAL1	NM_032116
HMGB1	NM_002128
USPL1	NM_005800
ALOX5AP	NM_001204406
MEDAG	NM_032849
TEX26	NM_152325
HSPH1	NM_001286504
B3GALTL	NM_194318
RXFP2	NM_130806
FRY	NM_023037
ZAR1L	NM_001136571
BRCA2	NM_000059
N4BP2L1	NM_001286459
N4BP2L2	NM_033111
PDS5B	NM_015032
KL	NM_004795
STARD13	NM_178006
RFC3	NM_002915
NBEA	NM_015678
MAB21L1	NM_005584
DCLK1	NM_004734
SOHLH2	NM_017826
CCDC169-SOHLH2	NM_001198910
CCDC169	NM_001198908
SPG20	NM_015087
SPG20OS	ENST00000493739
CCNA1	NM_003914
SERTM1	NM_203451
RFXAP	NM_000538
SMAD9	NM_001127217
ALG5	NM_013338
EXOSC8	NM_181503
SUPT20H	NM_001278480
CSNK1A1L	NM_145203
POSTN	NM_006475
TRPC4	NM_003306
UFM1	NM_001286704
FREM2	NM_207361
STOML3	NM_145286
PROSER1	NM_025138
NHLRC3	NM_001012754
LHFP	NM_005780
COG6	NM_020751
AL133318.1	ENST00000595486
FOXO1	NM_002015
MRPS31	NM_005830
SLC25A15	NM_014252
ELF1	NM_172373
WBP4	NM_007187
KBTBD6	NM_152903
KBTBD7	NM_032138
MTRF1	NM_004294
NAA16	NM_024561
RGCC	NM_014059
VWA8	NM_015058
DGKH	NM_178009
AKAP11	NM_016248
TNFSF11	NM_003701
FAM216B	NM_182508
EPSTI1	NM_001002264
DNAJC15	NM_013238
ENOX1	NM_001127615
CCDC122	NM_144974
LACC1	NM_001128303
SMIM2	NM_024058
SERP2	NM_001010897
TSC22D1	NM_183422
NUFIP1	NM_012345
GPALPP1	NM_018559
GTF2F2	NM_004128
KCTD4	NM_198404
TPT1	NM_001286272
SLC25A30	NM_001010875
COG3	NM_031431
ERICH6B	NM_182542
FAM194B	ENST00000298738
SPERT	NM_152719
SIAH3	NM_198849
ZC3H13	NM_015070
CPB2	NM_001872
LCP1	NM_002298
LRRC63	NM_001282460
KIAA0226L	NM_025113
LRCH1	NM_001164211
ESD	NM_001984
HTR2A	NM_000621
SUCLA2	NM_003850
NUDT15	NM_018283
MED4	NM_014166
ITM2B	NM_021999
RB1	NM_000321
LPAR6	NM_001162498
RCBTB2	NM_001286830
CYSLTR2	NM_020377
FNDC3A	NM_001278438
MLNR	NM_001507
CDADC1	NM_030911
CAB39L	NM_001287339
AL136218.1	ENST00000400396
SETDB2	NM_031915
PHF11	NM_001040443
RCBTB1	NM_018191
ARL11	NM_138450
EBPL	NM_032565
KPNA3	NM_002267
SPRYD7	NM_020456
TRIM13	NM_001007278
KCNRG	NM_173605
DLEU1	ENST00000378180
DLEU7	NM_198989
RNASEH2B	NM_024570
FAM124A	NM_145019
SERPINE3	NM_001101320
INTS6	NM_012141
WDFY2	NM_052950
DHRS12	NM_001270424
CCDC70	NM_031290
ATP7B	NM_000053
ALG11	NM_001004127
UTP14C	NM_021645
NEK5	NM_199289
NEK3	NM_002498
THSD1	NM_018676
VPS36	NM_016075
CKAP2	NM_001098525
HNRNPA1L2	NM_001011724
SUGT1	NM_001130912
LECT1	NM_007015
PCDH8	NM_002590
OLFM4	NM_006418
PRR20E	NM_001130407
PRR20D	NM_001130406
PRR20C	NM_001130405
PRR20B	NM_001130404
PRR20A	NM_198441
PCDH17	NM_001040429
DIAPH3	NM_001042517
TDRD3	NM_001146070
PCDH20	NM_022843
AL445989.1	ENST00000453638
PCDH9	NM_203487
KLHL1	NM_020866
DACH1	NM_080759
MZT1	NM_001071775
BORA	NM_001286746
DIS3	NM_014953
PIBF1	NM_006346
KLF5	NM_001730
KLF12	NM_007249
AL355390.1	ENST00000325811
TBC1D4	NM_014832
COMMD6	NM_203497
UCHL3	NM_006002
LMO7	NM_005358
C13orf45	ENST00000318245
LMO7DN	NM_001257995
KCTD12	NM_138444
IRG1	NM_001258406
CLN5	NM_006493
FBXL3	NM_012158
MYCBP2	NM_015057
SCEL	NM_144777
SLAIN1	NM_001242868
EDNRB	NM_001201397
POU4F1	NM_006237
RNF219	NM_024546
RBM26	NM_001286631
NDFIP2	NM_019080
SPRY2	NM_005842
SLITRK1	NM_001281503
SLITRK6	NM_032229
SLITRK5	NM_015567
GPC5	NM_004466
GPC6	NM_005708
DCT	NM_001129889
TGDS	NM_014305
GPR180	NM_180989
SOX21	NM_007084
ABCC4	NM_005845
CLDN10	NM_006984
DZIP1	NM_198968
DNAJC3	NM_006260
UGGT2	NM_020121
HS6ST3	NM_153456
OXGR1	NM_080818
MBNL2	NM_144778
RAP2A	NM_021033
IPO5	NM_002271
RNF113B	NM_178861
FARP1	NM_001286839
STK24	NM_003576
SLC15A1	NM_005073
DOCK9	NM_015296
UBAC2	NM_001144072
GPR18	NM_001098200
GPR183	NM_004951
TM9SF2	NM_004800
CLYBL	NM_206808
ZIC5	NM_033132
ZIC2	NM_007129
PCCA	NM_000282
GGACT	NM_033110
TMTC4	NM_032813
NALCN	NM_052867
ITGBL1	NM_004791
FGF14	NM_175929
TPP2	NM_003291
METTL21C	NM_001010977
CCDC168	NM_001146197
TEX30	NM_138779
KDELC1	NM_024089
BIVM	NM_017693
BIVM-ERCC5	NM_001204425
ERCC5	NM_000123
SLC10A2	NM_000452
DAOA	NM_172370
EFNB2	NM_004093
ARGLU1	NM_018011
FAM155A	NM_001080396
LIG4	NM_001098268
ABHD13	NM_032859
TNFSF13B	NM_006573
MYO16	NM_001198950
IRS2	NM_003749
COL4A1	NM_001845
COL4A2	NM_001846
RAB20	NM_017817
CARKD	NM_018210
CARS2	NM_024537
ING1	NM_005537
LINC00346	ENST00000538077
ANKRD10	NM_017664
ARHGEF7	NM_001113511
TEX29	NM_152324
RP11-65D24.2	ENST00000375713
SOX1	NM_005986
SPACA7	NM_145248
TUBGCP3	NM_006322
ATP11AUN	NM_207440
C13orf35	ENST00000356049
ATP11A	NM_032189
MCF2L	NM_001112732
AL137002.1	ENST00000593656
F7	NM_000131
F10	NM_000504
PROZ	NM_001256134
PCID2	NM_001258212
CUL4A	NM_001008895
LAMP1	NM_005561
GRTP1	NM_024719
ADPRHL1	NM_138430
DCUN1D2	NM_001014283
TMCO3	NM_017905
TFDP1	NM_007111
ATP4B	NM_000705
GRK1	NM_002929
TMEM255B	NM_182614
GAS6	NM_000820
LINC00452	NM_001278674
RASA3	NM_007368
CDC16	NM_003903
UPF3A	NM_023011
CHAMP1	NM_032436
OR11H12	NM_001013354
POTEG	NM_001005356
POTEM	NM_001145442
OR11H2	NM_001197287
OR4Q3	NM_172194
OR4M1	NM_001005500
OR4N2	NM_001004723
OR4K2	NM_001005501
OR4K5	NM_001005483
OR4K1	NM_001004063
OR4K15	NM_001005486
OR4K14	NM_001004712
OR4K13	NM_001004714
OR4L1	NM_001004717
OR4K17	NM_001004715
OR4N5	NM_001004724
OR11G2	NM_001005503
OR11H6	NM_001004480
OR11H4	NM_001004479
TTC5	NM_138376
CCNB1IP1	NM_021178
PARP2	NM_005484
TEP1	NM_007110
KLHL33	NM_001109997
OSGEP	NM_017807
APEX1	NM_001641
TMEM55B	NM_001100814
PNP	NM_000270
RNASE10	NM_001012975
RNASE9	NM_001110360
RNASE11	NM_145250
RNASE12	NM_001024822
OR6S1	NM_001001968
ANG	NM_001145
AL163636.6	ENST00000553909
RNASE4	NM_001282193
EDDM3A	NM_006683
EDDM3B	NM_022360
RNASE6	NM_005615
RNASE1	NM_198232
RNASE3	NM_002935
RNASE2	NM_002934
METTL17	NM_001029991
SLC39A2	NM_014579
NDRG2	NM_201540
TPPP2	NM_173846
RP11-998D10.1	ENST00000531638
RNASE13	NM_001012264
RNASE7	NM_032572
RNASE8	NM_138331
ARHGEF40	NM_018071
ZNF219	NM_001102454
TMEM253	NM_001146683
OR5AU1	NM_001004731
HNRNPC	NM_031314
RPGRIP1	NM_020366
SUPT16H	NM_007192
CHD8	NM_001170629
RAB2B	NM_032846
TOX4	NM_014828
METTL3	NM_019852
SALL2	NM_005407
OR10G3	NM_001005465
TRAV1-1	ENST00000542354
OR10G2	NM_001005466
TRAV1-2	ENST00000390423
OR4E2	NM_001001912
TRAV2	ENST00000390424
TRAV3	ENST00000390425
TRAV4	ENST00000390426
TRAV5	ENST00000390427
TRAV6	ENST00000390428
TRAV7	ENST00000390429
TRAV8-1	ENST00000390430
TRAV9-1	ENST00000390431
TRAV10	ENST00000390432
TRAV12-1	ENST00000390433
TRAV8-2	ENST00000390434
TRAV8-3	ENST00000390435
TRAV13-1	ENST00000390436
TRAV12-2	ENST00000390437
TRAV8-4	ENST00000390438
TRAV13-2	ENST00000390439
TRAV14DV4	ENST00000390440
TRAV9-2	ENST00000390441
TRAV12-3	ENST00000390442
TRAV8-6	ENST00000390443
TRAV16	ENST00000390444
TRAV17	ENST00000390445
TRAV18	ENST00000390446
TRAV19	ENST00000390447
TRAV20	ENST00000390448
TRAV21	ENST00000390449
TRAV22	ENST00000390450
TRAV23DV6	ENST00000390451
TRDV1	ENST00000390452
TRAV24	ENST00000390453
TRAV25	ENST00000390454
TRAV26-1	ENST00000390455
TRAV8-7	ENST00000390456
TRAV27	ENST00000390457
TRAV29DV5	ENST00000390458
TRAV30	ENST00000557168
TRAV26-2	ENST00000390460
TRAV34	ENST00000390461
TRAV35	ENST00000390462
TRAV36DV7	ENST00000390463
TRAV38-1	ENST00000390464
TRAV38-2DV8	ENST00000390465
TRAV39	ENST00000390466
TRAV40	ENST00000390467
TRAV41	ENST00000390468
TRDV2	ENST00000390469
TRDD1	ENST00000415118
TRDD2	ENST00000434970
TRDD3	ENST00000448914
TRDJ1	ENST00000390473
TRDJ4	ENST00000390474
TRDJ2	ENST00000390475
TRDJ3	ENST00000390476
TRDC	ENST00000390477
TRDV3	ENST00000535880
TRAJ61	ENST00000390479
TRAJ59	ENST00000390480
TRAJ58	ENST00000390481
TRAJ57	ENST00000390482
TRAJ56	ENST00000390483
TRAJ54	ENST00000390484
TRAJ53	ENST00000390485
TRAJ52	ENST00000390486
TRAJ50	ENST00000390487
TRAJ49	ENST00000390488
TRAJ48	ENST00000390489
TRAJ47	ENST00000390490
TRAJ46	ENST00000390491
TRAJ45	ENST00000390492
TRAJ44	ENST00000390493
TRAJ43	ENST00000390494
TRAJ42	ENST00000390495
TRAJ41	ENST00000390496
TRAJ40	ENST00000390497
TRAJ39	ENST00000390498
TRAJ38	ENST00000390499
TRAJ37	ENST00000390500
TRAJ36	ENST00000390501
TRAJ35	ENST00000390502
TRAJ34	ENST00000390503
TRAJ33	ENST00000390504
TRAJ32	ENST00000390505
TRAJ31	ENST00000390506
TRAJ30	ENST00000390507
TRAJ29	ENST00000390508
TRAJ28	ENST00000390509
TRAJ27	ENST00000390510
TRAJ26	ENST00000390511
TRAJ25	ENST00000390512
TRAJ24	ENST00000390513
TRAJ23	ENST00000390514
TRAJ22	ENST00000390515
TRAJ21	ENST00000390516
TRAJ20	ENST00000390517
TRAJ19	ENST00000390518
TRAJ18	ENST00000390519
TRAJ17	ENST00000390520
TRAJ16	ENST00000390521
TRAJ14	ENST00000390523
TRAJ13	ENST00000390524
TRAJ12	ENST00000390525
TRAJ11	ENST00000390526
TRAJ10	ENST00000390527
TRAJ9	ENST00000390528
TRAJ8	ENST00000390529
TRAJ7	ENST00000390530
TRAJ6	ENST00000390531
TRAJ5	ENST00000390532
TRAJ4	ENST00000390533
TRAJ3	ENST00000390534
TRAJ2	ENST00000390535
TRAJ1	ENST00000390536
TRAC	ENST00000478163
AE000662.92	ENST00000557595
DAD1	NM_001344
ABHD4	NM_022060
OR6J1	ENST00000540461
OXA1L	NM_005015
SLC7A7	NM_001126105
AL135998.1	ENST00000399979
MRPL52	NM_178336
MMP14	NM_004995
LRP10	NM_014045
REM2	NM_173527
RBM23	NM_001077351
PRMT5	NM_006109
HAUS4	NM_017815
RP11-298I3.5	ENST00000555074
AJUBA	NM_032876
C14orf93	NM_001130706
PSMB5	NM_002797
PSMB11	NM_001099780
CDH24	NM_022478
ACIN1	NM_014977
C14orf119	NM_017924
CEBPE	NM_001805
SLC7A8	NM_012244
C14orf164	NM_001282322
HOMEZ	NM_020834
PPP1R3E	NM_001276318
BCL2L2	NM_004050
BCL2L2-PABPN1	NM_001199864
PABPN1	NM_004643
AL049829.1	ENST00000594872
SLC22A17	NM_020372
EFS	NM_005864
IL25	NM_022789
CMTM5	NM_001288746
MYH6	NM_002471
MYH7	NM_000257
NGDN	NM_001042635
ZFHX2	NM_033400
THTPA	NM_001126339
AP1G2	NM_003917
JPH4	NM_001146028
DHRS2	NM_182908
DHRS4-AS1	ENST00000354854
DHRS4	NM_021004
DHRS4L2	NM_198083
DHRS4L1	NM_001277864
LRRC16B	NM_138360
CPNE6	NM_001280558
NRL	NM_006177
PCK2	NM_004563
DCAF11	NM_025230
RP11-468E2.6	ENST00000558325
FITM1	NM_203402
PSME1	NM_006263
EMC9	NM_016049
PSME2	NM_002818
RNF31	NM_017999
RP11-468E2.4	ENST00000558468
IRF9	NM_006084
REC8	NM_001048205
IPO4	NM_024658
RP11-468E2.2	ENST00000561419
TM9SF1	NM_006405
TSSK4	NM_001184739
CHMP4A	NM_014169
MDP1	NM_138476
NEDD8-MDP1	NM_001199823
NEDD8	NM_006156
GMPR2	NM_001283022
TINF2	NM_001099274
TGM1	NM_000359
RABGGTA	NM_004581
DHRS1	NM_001136050
NOP9	NM_174913
CIDEB	NM_014430
LTB4R2	NM_001164692
LTB4R	NM_001143919
ADCY4	NM_001198568
RP11-934B9.3	ENST00000555591
RIPK3	NM_006871
NFATC4	NM_001136022
NYNRIN	NM_025081
CBLN3	NM_001039771
KHNYN	NM_001290256
SDR39U1	NM_020195
RP11-80A15.1	ENST00000555109
CMA1	NM_001836
CTSG	NM_001911
GZMH	NM_033423
GZMB	NM_004131
STXBP6	NM_014178
NOVA1	NM_002515
FOXG1	NM_005249
C14orf23	ENST00000399387
PRKD1	NM_002742
G2E3	NM_017769
SCFD1	NM_016106
COCH	NM_004086
STRN3	NM_001083893
AP4S1	NM_007077
HECTD1	NM_015382
HEATR5A	NM_015473
RP11-176H8.1	ENST00000547378
DTD2	NM_080664
GPR33	NM_001197184
NUBPL	NM_025152
RP11-187E13.1	ENST00000553330
RP11-187E13.2	ENST00000556949
ARHGAP5	NM_001030055
AKAP6	NM_004274
NPAS3	NM_001164749
EGLN3	NM_022073
SPTSSA	NM_138288
EAPP	NM_018453
SNX6	NM_152233
CFL2	NM_138638
BAZ1A	NM_013448
SRP54	NM_003136
FAM177A1	NM_173607
PPP2R3C	NM_017917
KIAA0391	NM_014672
PSMA6	NM_002791
NFKBIA	NM_020529
INSM2	NM_032594
RALGAPA1	NM_001283044
BRMS1L	NM_032352
MBIP	NM_016586
SFTA3	NM_001101341
NKX2-1	NM_001079668
NKX2-8	NM_014360
PAX9	NM_006194
SLC25A21	NM_001171170
SLC25A21-AS1	ENST00000556667
MIPOL1	NM_138731
FOXA1	NM_004496
TTC6	ENST00000553443
SSTR1	NM_001049
CLEC14A	NM_175060
SEC23A	NM_006364
GEMIN2	NM_003616
TRAPPC6B	NM_001079537
PNN	NM_002687
RP11-407N17.3	ENST00000553728
MIA2	NM_054024
CTAGE5	NM_001247989
FBXO33	NM_203301
LRFN5	NM_152447
FSCB	NM_032135
C14orf28	NM_001017923
KLHL28	NM_017658
FAM179B	NM_015091
PRPF39	NM_017922
FKBP3	NM_002013
FANCM	NM_020937
MIS18BP1	NM_018353
RPL10L	NM_080746
MDGA2	NM_001113498
RPS29	NM_001030001
AL139099.1	ENST00000539688
LRR1	NM_152329
RPL36AL	NM_001001
MGAT2	NM_002408
DNAAF2	NM_018139
POLE2	NM_002692
KLHDC1	NM_172193
KLHDC2	NM_014315
NEMF	NM_004713
AL627171.2	ENST00000595378
AL627171.1	ENST00000358799
ARF6	NM_001663
C14orf182	NM_001012706
C14orf183	NM_001014830
VCPKMT	NM_024558
SOS2	NM_006939
L2HGDH	NM_024884
ATP5S	NM_001003803
CDKL1	NM_004196
MAP4K5	NM_198794
ATL1	NM_015915
SAV1	NM_021818
NIN	NM_020921
ABHD12B	NM_001206673
PYGL	NM_002863
TRIM9	NM_015163
TMX1	NM_030755
FRMD6	NM_001267046
RP11-463J10.2	ENST00000556834
GNG2	NM_053064
AL358333.1	ENST00000597846
C14orf166	NM_016039
NID2	NM_007361
PTGDR	NM_000953
PTGER2	NM_000956
TXNDC16	NM_020784
GPR137C	NM_001099652
ERO1L	NM_014584
PSMC6	NM_002806
STYX	NM_001130701
GNPNAT1	NM_198066
FERMT2	NM_001134999
DDHD1	NM_001160148
BMP4	NM_001202
CDKN3	NM_005192
CNIH1	NM_005776
GMFB	NM_004124
CGRRF1	NM_006568
SAMD4A	NM_015589
GCH1	NM_000161
WDHD1	NM_007086
SOCS4	NM_199421
MAPK1IP1L	NM_144578
LGALS3	NM_002306
DLGAP5	NM_001146015
FBXO34	NM_017943
ATG14	NM_014924
TBPL2	NM_199047
KTN1	NM_001079521
PELI2	NM_021255
TMEM260	NM_017799
RP11-1085N6.3	ENST00000554597
OTX2	NM_021728
AL391152.1	ENST00000391612
EXOC5	NM_006544
AP5M1	NM_018229
NAA30	NM_001011713
C14orf105	NM_001283056
SLC35F4	NM_001206920
C14orf37	NM_001001872
ACTR10	NM_018477
PSMA3	NM_002788
AL132989.1	ENST00000598233
ARID4A	NM_002892
TOMM20L	NM_207377
TIMM9	NM_012460
KIAA0586	NM_001244189
DACT1	NM_016651
DAAM1	NM_014992
GPR135	NM_022571
L3HYPDH	NM_144581
JKAMP	NM_001284201
CCDC175	NM_001164399
RTN1	NM_021136
LRRC9	ENST00000445360
PCNXL4	NM_022495
DHRS7	NM_016029
PPM1A	NM_177952
C14orf39	NM_174978
SIX6	NM_007374
SIX1	NM_005982
SIX4	NM_017420
MNAT1	NM_002431
TRMT5	NM_020810
SLC38A6	NM_001172702
TMEM30B	NM_001017970
PRKCH	NM_006255
RP11-47I22.4	ENST00000556347
RP11-47I22.3	ENST00000229465
HIF1A	NM_001243084
SNAPC1	NM_003082
SYT16	NM_031914
KCNH5	NM_139318
RHOJ	NM_020663
GPHB5	NM_145171
PPP2R5E	NM_006246
WDR89	NM_001008726
SGPP1	NM_030791
SYNE2	NM_182914
ESR2	NM_001437
MTHFD1	NM_005956
AKAP5	NM_004857
ZBTB25	NM_006977
ZBTB1	NM_001123329
HSPA2	NM_021979
PPP1R36	NM_172365
PLEKHG3	NM_015549
SPTB	NM_000347
CHURC1	NM_145165
CHURC1-FNTB	NM_001202559
GPX2	NM_002083
RAB15	NM_198686
FNTB	NM_002028
MAX	NM_002382
FUT8	NM_178155
CTD-2014B16.3	ENST00000554907
GPHN	NM_020806
FAM71D	NM_173526
MPP5	NM_022474
ATP6V1D	NM_015994
EIF2S1	NM_004094
PLEK2	NM_016445
TMEM229B	NM_182526
PLEKHH1	NM_020715
PIGH	NM_004569
ARG2	NM_001172
VTI1B	NM_006370
RP11-1012A1.4	ENST00000553306
RDH11	NM_016026
RDH12	NM_152443
ZFYVE26	NM_015346
RAD51B	NM_133509
ZFP36L1	NM_001244701
ACTN1	NM_001130004
DCAF5	NM_003861
EXD2	NM_001193361
GALNT16	NM_020692
ERH	NM_004450
SLC39A9	NM_018375
PLEKHD1	NM_001161498
CCDC177	NM_001271507
KIAA0247	NM_014734
SRSF5	NM_006925
SLC10A1	NM_003049
SMOC1	NM_001034852
SLC8A3	NM_183002
SYNJ2BP-COX16	NM_001202547
COX16	NM_016468
SYNJ2BP	NM_018373
ADAM21	NM_003813
ADAM20	NM_003814
MED6	NM_001284211
TTC9	NM_015351
MAP3K9	NM_033141
PCNX	NM_014982
AC004817.1	ENST00000594636
SIPA1L1	NM_015556
RGS6	NM_001204416
AC005477.1	ENST00000542853
DPF3	NM_001280544
DCAF4	NM_015604
ZFYVE1	NM_021260
RBM25	NM_021239
PSEN1	NM_000021
PAPLN	NM_173462
NUMB	NM_001005743
HEATR4	NM_203309
C14orf169	NM_024644
ACOT1	NM_001037161
ACOT2	NM_006821
ACOT4	NM_152331
ACOT6	NM_001037162
DNAL1	NM_031427
PNMA1	NM_006029
ELMSAN1	NM_001043318
PTGR2	NM_152444
RP5-1021I20.4	ENST00000556551
ZNF410	NM_001242924
FAM161B	NM_152445
COQ6	NM_182476
ENTPD5	NM_001249
CCDC176	NM_025057
ALDH6A1	NM_005589
LIN52	NM_001024674
VSX2	NM_182894
ABCD4	NM_005050
VRTN	NM_018228
SYNDIG1L	NM_001105579
NPC2	NM_006432
ISCA2	NM_194279
LTBP2	NM_000428
AREL1	NM_001039479
AC007956.1	ENST00000338772
FCF1	NM_015962
YLPM1	NM_019589
PROX2	NM_001243007
DLST	NM_001933
RPS6KL1	NM_031464
PGF	NM_002632
EIF2B2	NM_014239
MLH3	NM_001040108
ACYP1	NM_001107
ZC2HC1C	NM_024643
NEK9	NM_033116
TMED10	NM_006827
RP11-293M10.1	ENST00000553510
FOS	NM_005252
JDP2	NM_001135049
BATF	NM_006399
FLVCR2	NM_017791
C14orf1	NM_007176
TTLL5	NM_015072
TGFB3	NM_003239
IFT43	NM_052873
GPATCH2L	NM_017926
ESRRB	NM_004452
VASH1	NM_014909
ANGEL1	NM_015305
LRRC74	NM_194287
C14orf166B	ENST00000393774
IRF2BPL	NM_024496
RP11-463C8.4	ENST00000557752
CIPC	NM_033426
ZDHHC22	NM_174976
AC007375.1	ENST00000600936
TMEM63C	NM_020431
NGB	NM_021257
POMT2	NM_013382
GSTZ1	NM_145870
TMED8	NM_213601
SAMD15	NM_001010860
NOXRED1	NM_001113475
FKSG61	ENST00000595520
VIPAS39	NM_022067
AHSA1	NM_012111
ISM2	NM_199296
SPTLC2	NM_004863
ALKBH1	NM_006020
SLIRP	NM_031210
SNW1	NM_012245
C14orf178	NM_174943
AC008372.1	ENST00000596936
ADCK1	NM_020421
NRXN3	NM_004796
DIO2	NM_001007023
CEP128	NM_152446
TSHR	NM_000369
GTF2A1	NM_015859
STON2	NM_001256430
SEL1L	NM_005065
RP11-497E19.2	ENST00000553678
FLRT2	NM_013231
RP11-322L20.1	ENST00000557527
GALC	NM_000153
GPR65	NM_003608
KCNK10	NM_138318
SPATA7	NM_018418
PTPN21	NM_007039
ZC3H14	NM_024824
EML5	NM_183387
TTC8	NM_144596
FOXN3	NM_001085471
RP11-944C7.1	ENST00000550332
EFCAB11	NM_145231
TDP1	NM_018319
KCNK13	NM_022054
PSMC1	NM_002802
NRDE2	NM_017970
CALM1	NM_006888
TTC7B	NM_001010854
RPS6KA5	NM_004755
C14orf159	NM_001102368
GPR68	NM_003485
CTD-2547L24.3	ENST00000554096
CCDC88C	NM_001080414
SMEK1	NM_001284280
AL133373.1	ENST00000596306
CATSPERB	NM_024764
TC2N	NM_001128595
FBLN5	NM_006329
TRIP11	NM_004239
ATXN3	NM_004993
NDUFB1	NM_004545
CPSF2	NM_017437
SLC24A4	NM_153646
RIN3	NM_024832
LGMN	NM_005606
GOLGA5	NM_005113
CHGA	NM_001275
ITPK1	NM_014216
MOAP1	NM_022151
TMEM251	NM_001098621
RP11-371E8.4	ENST00000557574
C14orf142	NM_032490
UBR7	NM_175748
BTBD7	NM_001002860
COX8C	NM_182971
UNC79	NM_020818
PRIMA1	NM_178013
FAM181A	NM_138344
ASB2	NM_001202429
RP11-131H24.4	ENST00000557646
OTUB2	NM_023112
DDX24	NM_020414
IFI27L1	NM_145249
IFI27	NM_001288995
IFI27L2	NM_032036
PPP4R4	NM_058237
SERPINA10	NM_016186
SERPINA6	NM_001756
SERPINA2	NM_006220
SERPINA1	NM_000295
SERPINA11	NM_001080451
SERPINA9	NM_175739
SERPINA12	NM_173850
SERPINA4	NM_001289032
SERPINA5	NM_000624
RP11-986E7.7	ENST00000553947
SERPINA3	NM_001085
GSC	NM_173849
DICER1	NM_177438
CLMN	NM_024734
SYNE3	NM_152592
RP11-1070N10.3	ENST00000554161
GLRX5	NM_016417
TCL1B	NM_004918
TCL1A	NM_001098725
C14orf132	NM_001289139
RP11-404P21.8	ENST00000553811
BDKRB2	NM_000623
BDKRB1	NM_000710
DKFZP434O1614	ENST00000554299
ATG2B	NM_018036
GSKIP	NM_016472
AK7	NM_152327
PAPOLA	NM_032632
VRK1	NM_003384
RP11-204N11.1	ENST00000557296
C14orf64	ENST00000499006
C14orf177	NM_182560
BCL11B	NM_138576
SETD3	NM_032233
CCNK	NM_001099402
CCDC85C	NM_001144995
HHIPL1	NM_001127258
CYP46A1	NM_006668
EML1	NM_001008707
EVL	NM_016337
DEGS2	NM_206918
YY1	NM_003403
SLC25A29	NM_001039355
SLC25A47	NM_207117
WARS	NM_004184
WDR25	NM_001161476
BEGAIN	NM_001159531
DLK1	NM_003836
AL117190.2	ENST00000596284
RTL1	NM_001134888
AL117190.3	ENST00000599197
DIO3	NM_001362
RP11-796G6.2	ENST00000556973
PPP2R5C	NM_001161725
DYNC1H1	NM_001376
HSP90AA1	NM_001017963
WDR20	NM_001242417
MOK	NM_014226
ZNF839	NM_018335
CINP	NM_032630
TECPR2	NM_014844
ANKRD9	NM_152326
RCOR1	NM_015156
TRAF3	NM_145725
AMN	NM_030943
CDC42BPB	NM_006035
EXOC3L4	NM_001077594
TNFAIP2	NM_006291
EIF5	NM_183004
MARK3	NM_001128918
CKB	NM_001823
TRMT61A	NM_152307
BAG5	NM_001015049
RP11-73M18.2	ENST00000472726
APOPT1	NM_032374
KLC1	NM_001130107
XRCC3	NM_001100118
AL049840.1	ENST00000429169
ZFYVE21	NM_001198953
PPP1R13B	NM_015316
C14orf2	NM_001127393
TDRD9	NM_153046
RD3L	NM_001257268
ASPG	NM_001080464
KIF26A	NM_015656
C14orf144	ENST00000419115
C14orf180	NM_001286399
TMEM179	NM_001286389
INF2	NM_022489
ADSSL1	NM_199165
SIVA1	NM_006427
AKT1	NM_005163
ZBTB42	NM_001137601
CEP170B	NM_001112726
PLD4	NM_138790
AHNAK2	NM_138420
C14orf79	NM_174891
CDCA4	NM_017955
GPR132	NM_001278694
JAG2	NM_002226
NUDT14	NM_177533
BRF1	NM_001519
BTBD6	NM_033271
PACS2	NM_001100913
